country_name,country_code,region,income_group,indicator_name,indicator_code,year,gdp_per_capita,gdp_variation
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1991,786.664734494057,0.934868141799299
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1992,821.40696946941,2.47279367549147
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1993,873.162690863553,3.29200920876569
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1994,966.359854628883,3.42105775407251
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1995,1090.46702165719,2.8435040050615
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1996,1194.42772377094,4.50739361019362
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1997,1247.16114200323,3.94699189465848
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1998,1221.37851402683,1.67745234866436
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1999,1156.91937923283,2.09036548197925
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2000,1236.4254560356,4.01917281482569
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2001,1221.81919160791,2.12360612558086
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2002,1226.22247879312,3.28773347416502
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2003,1353.77755628539,4.46920045017953
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2004,1566.72610202175,6.24847479799713
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2005,1825.52911737642,5.92822524071184
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2006,2121.94174849257,6.86439934045644
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2007,2573.08721674157,7.52594893142242
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2008,3015.08154902374,4.59020999613213
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2009,2984.35382585037,2.66876107270389
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2010,3590.83653455468,6.83068313572186
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2011,4182.81321400152,5.15972710080707
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2012,4398.51781287514,4.29444805707119
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2013,4610.54219718134,4.31204415206963
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2014,4763.02572364617,3.88856446747215
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2015,4565.92744572991,3.57677642882174
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2016,4566.49285052469,3.60808814873756
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2017,4939.46308269855,4.18489140184317
 INGRESO MEDIANO,MIC,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2018,5202.51034300538,3.87741748000848
